,aff_city,aff_cityNow,aff_country,aff_countryNow,aff_locationString,aff_name,aff_nameNow,awardYear,category,categoryFullName,city,cityNow,continent,country,countryNow,date,dateAwarded,gender,id,knownName,locationString,motivation,portion,prizeAmount,prizeAmountAdjusted,prizeStatus,sortOrder,new_category,key_col,matches,check
35,Rotterdam,Rotterdam,the Netherlands,the Netherlands,"Rotterdam, the Netherlands",The Netherlands School of Economics,The Netherlands School of Economics,1969,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,the Hague,the Hague,Europe,the Netherlands,the Netherlands,1903-04-12,,male,678,Jan Tinbergen,"the Hague, the Netherlands",for having developed and applied dynamic models for the analysis of economic processes,1/2,375000,3181561,received,2,Economics,jantinbergen1969economics,,0
36,Toulouse,Toulouse,France,France,"Toulouse, France",Toulouse School of Economics (TSE),Toulouse School of Economics (TSE),2014,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Troyes,Troyes,Europe,France,France,1953-08-09,2014-10-13,male,915,Jean Tirole,"Troyes, France",for his analysis of market power and regulation,1,8000000,8379888,received,1,Economics,jeantirole2014economics,,0
37,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,1994,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Budapest,Budapest,Europe,Hungary,Hungary,1920-05-29,1994-10-11,male,711,John C. Harsanyi,"Budapest, Hungary",for their pioneering analysis of equilibria in the theory of non-cooperative games,1/3,7000000,9249471,received,1,Economics,johncharsanyi1994economics,johnharsanyi1994economics,25
38,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Princeton University,Princeton University,1994,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Bluefield, WV","Bluefield, WV",North America,USA,USA,1928-06-13,1994-10-11,male,712,John F. Nash Jr.,"Bluefield, WV, USA",for their pioneering analysis of equilibria in the theory of non-cooperative games,1/3,7000000,9249471,received,2,Economics,johnfnashjr1994economics,,0
39,Oxford,Oxford,United Kingdom,United Kingdom,"Oxford, United Kingdom",All Souls College,All Souls College,1972,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Warwick,Warwick,Europe,United Kingdom,United Kingdom,1904-04-08,1972-10-25,male,681,John R. Hicks,"Warwick, United Kingdom",for their pioneering contributions to general economic equilibrium theory and welfare theory,1/2,480000,3345725,received,1,Economics,johnrhicks1972economics,,0
40,"New York, NY","New York, NY",USA,USA,"New York, NY, USA",Columbia University,Columbia University,2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Gary, IN","Gary, IN",North America,USA,USA,1943-02-09,2001-10-10,male,746,Joseph E. Stiglitz,"Gary, IN, USA",for their analyses of markets with asymmetric information,1/3,10000000,12295082,received,3,Economics,josephestiglitz2001economics,josephstiglitz2001economics,27
41,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Harvard University,Harvard University,1972,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"New York, NY","New York, NY",North America,USA,USA,1921-08-23,1972-10-25,male,682,Kenneth J. Arrow,"New York, NY, USA",for their pioneering contributions to general economic equilibrium theory and welfare theory,1/2,480000,3345725,received,2,Economics,kennethjarrow1972economics,kennetharrow1972economics,25
42,"Chicago, IL","Chicago, IL",USA,USA,"Chicago, IL, USA",University of Chicago,University of Chicago,2013,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Urbana, IL","Urbana, IL",North America,USA,USA,1952-10-26,2013-10-14,male,895,Lars Peter Hansen,"Urbana, IL, USA",for their empirical analysis of asset prices,1/3,8000000,8365867,received,2,Economics,larspeterhansen2013economics,,0
43,"Philadelphia, PA","Philadelphia, PA",USA,USA,"Philadelphia, PA, USA",University of Pennsylvania,University of Pennsylvania,1980,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Omaha, NE","Omaha, NE",North America,USA,USA,1920-09-14,1980-10-15,male,694,Lawrence R. Klein,"Omaha, NE, USA",for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,1,880000,2889667,received,1,Economics,lawrencerklein1980economics,lawrenceklein1980economics,26
44,"Minneapolis, MN","Minneapolis, MN",USA,USA,"Minneapolis, MN, USA",University of Minnesota,University of Minnesota,2007,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Moscow,Moscow,Europe,Russia,Russia,1917-08-21,2007-10-15,male,820,Leonid Hurwicz,"Moscow, Russia",for having laid the foundations of mechanism design theory,1/3,10000000,11301989,received,1,Economics,leonidhurwicz2007economics,leonid(leo)hurwicz2007economics,31
45,Moscow,Moscow,USSR,Russia,"Moscow, USSR (now Russia)",Academy of Sciences,Academy of Sciences,1975,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,St. Petersburg,St. Petersburg,Europe,Russian Empire,Russia,1912-01-19,1975-10-14,male,686,Leonid Vitaliyevich Kantorovich,"St. Petersburg, Russian Empire (now Russia)",for their contributions to the theory of optimum allocation of resources,1/2,630000,3404179,received,1,Economics,leonidvitaliyevichkantorovich1975economics,,0
46,"Los Angeles, CA","Los Angeles, CA",USA,USA,"Los Angeles, CA, USA",University of California,University of California,2012,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Cambridge, MA","Cambridge, MA",North America,USA,USA,1923-06-02,2012-10-15,male,883,Lloyd S. Shapley,"Cambridge, MA, USA",for the theory of stable allocations and the practice of market design,1/2,8000000,8361204,received,2,Economics,lloydsshapley2012economics,,0
47,Paris,Paris,France,France,"Paris, France",École Nationale Supérieur des Mines de Paris,École Nationale Supérieur des Mines de Paris,1988,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Paris,Paris,Europe,France,France,1911-05-31,1988-10-18,male,702,Maurice Allais,"Paris, France",for his pioneering contributions to the theory of markets and efficient utilization of resources,1,2500000,4645689,received,1,Economics,mauriceallais1988economics,,0
48,"Chicago, IL","Chicago, IL",USA,USA,"Chicago, IL, USA",University of Chicago,University of Chicago,1990,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Boston, MA","Boston, MA",North America,USA,USA,1923-05-16,1990-10-16,male,705,Merton H. Miller,"Boston, MA, USA",for their pioneering work in the theory of financial economics,1/3,4000000,6329114,received,2,Economics,mertonhmiller1990economics,mertonmiller1990economics,25
49,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Harvard University,Harvard University,2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"New York, NY","New York, NY",North America,USA,USA,1964-11-12,2019-10-14,male,984,Michael Kremer,"New York, NY, USA",for their experimental approach to alleviating global poverty,1/3,9000000,9000000,received,3,Economics,michaelkremer2019economics,michaelkremer2019economics,26
50,"Chicago, IL","Chicago, IL",USA,USA,"Chicago, IL, USA",University of Chicago,University of Chicago,1976,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Brooklyn, NY","Brooklyn, NY",North America,USA,USA,1912-07-31,1976-10-14,male,688,Milton Friedman,"Brooklyn, NY, USA","for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",1,681000,3342605,received,1,Economics,miltonfriedman1976economics,miltonfriedman1976economics,27
